Clock Speed: 2
Event: Send to VMs 1 and 2	Global Time: 1457813692.58	LC: 1
Event: Internal Event	Global Time: 1457813693.08	LC: 2
Event: Receive	Global Time: 1457813693.58	MsgQueue Length: 1	LC: 5
Event: Receive	Global Time: 1457813694.08	MsgQueue Length: 3	LC: 8
Event: Receive	Global Time: 1457813694.58	MsgQueue Length: 3	LC: 9
Event: Receive	Global Time: 1457813695.08	MsgQueue Length: 4	LC: 10
Event: Receive	Global Time: 1457813695.58	MsgQueue Length: 6	LC: 12
Event: Receive	Global Time: 1457813696.08	MsgQueue Length: 5	LC: 13
Event: Receive	Global Time: 1457813696.58	MsgQueue Length: 4	LC: 14
Event: Receive	Global Time: 1457813697.08	MsgQueue Length: 5	LC: 15
Event: Receive	Global Time: 1457813697.59	MsgQueue Length: 7	LC: 16
Event: Receive	Global Time: 1457813698.09	MsgQueue Length: 8	LC: 17
Event: Receive	Global Time: 1457813698.59	MsgQueue Length: 8	LC: 22
Event: Receive	Global Time: 1457813699.09	MsgQueue Length: 7	LC: 24
Event: Receive	Global Time: 1457813699.59	MsgQueue Length: 8	LC: 25
Event: Receive	Global Time: 1457813700.09	MsgQueue Length: 9	LC: 26
Event: Receive	Global Time: 1457813700.59	MsgQueue Length: 11	LC: 27
Event: Receive	Global Time: 1457813701.09	MsgQueue Length: 10	LC: 28
Event: Receive	Global Time: 1457813701.59	MsgQueue Length: 9	LC: 29
Event: Receive	Global Time: 1457813702.09	MsgQueue Length: 11	LC: 31
Event: Receive	Global Time: 1457813702.59	MsgQueue Length: 11	LC: 35
Event: Receive	Global Time: 1457813703.09	MsgQueue Length: 10	LC: 36
Event: Receive	Global Time: 1457813703.59	MsgQueue Length: 11	LC: 38
Event: Receive	Global Time: 1457813704.1	MsgQueue Length: 11	LC: 39
Event: Receive	Global Time: 1457813704.6	MsgQueue Length: 12	LC: 40
Event: Receive	Global Time: 1457813705.1	MsgQueue Length: 12	LC: 41
Event: Receive	Global Time: 1457813705.6	MsgQueue Length: 11	LC: 42
Event: Receive	Global Time: 1457813706.1	MsgQueue Length: 11	LC: 47
Event: Receive	Global Time: 1457813706.6	MsgQueue Length: 11	LC: 48
Event: Receive	Global Time: 1457813707.1	MsgQueue Length: 12	LC: 49
Event: Receive	Global Time: 1457813707.6	MsgQueue Length: 13	LC: 51
Event: Receive	Global Time: 1457813708.1	MsgQueue Length: 13	LC: 55
Event: Receive	Global Time: 1457813708.6	MsgQueue Length: 13	LC: 56
Event: Receive	Global Time: 1457813709.1	MsgQueue Length: 13	LC: 57
Event: Receive	Global Time: 1457813709.6	MsgQueue Length: 13	LC: 60
Event: Receive	Global Time: 1457813710.1	MsgQueue Length: 14	LC: 62
Event: Receive	Global Time: 1457813710.6	MsgQueue Length: 15	LC: 63
Event: Receive	Global Time: 1457813711.11	MsgQueue Length: 17	LC: 68
Event: Receive	Global Time: 1457813711.61	MsgQueue Length: 18	LC: 69
Event: Receive	Global Time: 1457813712.11	MsgQueue Length: 18	LC: 71
Event: Receive	Global Time: 1457813712.61	MsgQueue Length: 18	LC: 73
Event: Receive	Global Time: 1457813713.11	MsgQueue Length: 18	LC: 75
Event: Receive	Global Time: 1457813713.61	MsgQueue Length: 17	LC: 76
Event: Receive	Global Time: 1457813714.11	MsgQueue Length: 17	LC: 79
Event: Receive	Global Time: 1457813714.61	MsgQueue Length: 20	LC: 81
Event: Receive	Global Time: 1457813715.11	MsgQueue Length: 20	LC: 82
Event: Receive	Global Time: 1457813715.61	MsgQueue Length: 21	LC: 83
Event: Receive	Global Time: 1457813716.11	MsgQueue Length: 23	LC: 88
Event: Receive	Global Time: 1457813716.61	MsgQueue Length: 25	LC: 89
Event: Receive	Global Time: 1457813717.12	MsgQueue Length: 25	LC: 91
Event: Receive	Global Time: 1457813717.62	MsgQueue Length: 25	LC: 92
Event: Receive	Global Time: 1457813718.12	MsgQueue Length: 27	LC: 93
Event: Receive	Global Time: 1457813718.62	MsgQueue Length: 27	LC: 94
Event: Receive	Global Time: 1457813719.12	MsgQueue Length: 28	LC: 95
Event: Receive	Global Time: 1457813719.62	MsgQueue Length: 29	LC: 96
Event: Receive	Global Time: 1457813720.12	MsgQueue Length: 29	LC: 97
Event: Receive	Global Time: 1457813720.62	MsgQueue Length: 28	LC: 98
Event: Receive	Global Time: 1457813721.12	MsgQueue Length: 27	LC: 101
Event: Receive	Global Time: 1457813721.62	MsgQueue Length: 28	LC: 103
Event: Receive	Global Time: 1457813722.12	MsgQueue Length: 29	LC: 107
Event: Receive	Global Time: 1457813722.62	MsgQueue Length: 30	LC: 109
Event: Receive	Global Time: 1457813723.12	MsgQueue Length: 30	LC: 110
Event: Receive	Global Time: 1457813723.62	MsgQueue Length: 32	LC: 111
Event: Receive	Global Time: 1457813724.13	MsgQueue Length: 33	LC: 112
Event: Receive	Global Time: 1457813724.63	MsgQueue Length: 34	LC: 113
Event: Receive	Global Time: 1457813725.13	MsgQueue Length: 34	LC: 114
Event: Receive	Global Time: 1457813725.63	MsgQueue Length: 35	LC: 117
Event: Receive	Global Time: 1457813726.13	MsgQueue Length: 36	LC: 118
Event: Receive	Global Time: 1457813726.63	MsgQueue Length: 38	LC: 119
Event: Receive	Global Time: 1457813727.13	MsgQueue Length: 38	LC: 120
Event: Receive	Global Time: 1457813727.63	MsgQueue Length: 39	LC: 121
Event: Receive	Global Time: 1457813728.13	MsgQueue Length: 39	LC: 122
Event: Receive	Global Time: 1457813728.63	MsgQueue Length: 39	LC: 123
Event: Receive	Global Time: 1457813729.13	MsgQueue Length: 40	LC: 124
Event: Receive	Global Time: 1457813729.63	MsgQueue Length: 40	LC: 125
Event: Receive	Global Time: 1457813730.13	MsgQueue Length: 41	LC: 126
Event: Receive	Global Time: 1457813730.64	MsgQueue Length: 41	LC: 128
Event: Receive	Global Time: 1457813731.14	MsgQueue Length: 41	LC: 129
Event: Receive	Global Time: 1457813731.64	MsgQueue Length: 42	LC: 130
