Clock Speed: 2
Event: Send to VM 1	Global Time: 1457809475.37	LC: 1
Event: Send to VM 1	Global Time: 1457809475.87	LC: 2
Event: Receive	Global Time: 1457809476.37	MsgQueue Length: 0	LC: 7
Event: Receive	Global Time: 1457809476.87	MsgQueue Length: 0	LC: 8
Event: Receive	Global Time: 1457809477.37	MsgQueue Length: 0	LC: 11
Event: Internal Event	Global Time: 1457809477.87	LC: 12
Event: Receive	Global Time: 1457809478.37	MsgQueue Length: 1	LC: 16
Event: Receive	Global Time: 1457809478.87	MsgQueue Length: 2	LC: 17
Event: Receive	Global Time: 1457809479.37	MsgQueue Length: 2	LC: 18
Event: Receive	Global Time: 1457809479.87	MsgQueue Length: 2	LC: 19
Event: Receive	Global Time: 1457809480.38	MsgQueue Length: 1	LC: 20
Event: Receive	Global Time: 1457809480.88	MsgQueue Length: 0	LC: 23
Event: Receive	Global Time: 1457809481.38	MsgQueue Length: 1	LC: 31
Event: Receive	Global Time: 1457809481.88	MsgQueue Length: 1	LC: 32
Event: Receive	Global Time: 1457809482.38	MsgQueue Length: 1	LC: 34
Event: Receive	Global Time: 1457809482.88	MsgQueue Length: 2	LC: 35
Event: Receive	Global Time: 1457809483.38	MsgQueue Length: 1	LC: 38
Event: Receive	Global Time: 1457809483.88	MsgQueue Length: 2	LC: 39
Event: Receive	Global Time: 1457809484.38	MsgQueue Length: 2	LC: 43
Event: Receive	Global Time: 1457809484.88	MsgQueue Length: 3	LC: 44
Event: Receive	Global Time: 1457809485.38	MsgQueue Length: 3	LC: 47
Event: Receive	Global Time: 1457809485.88	MsgQueue Length: 4	LC: 48
Event: Receive	Global Time: 1457809486.38	MsgQueue Length: 4	LC: 49
Event: Receive	Global Time: 1457809486.88	MsgQueue Length: 4	LC: 52
Event: Receive	Global Time: 1457809487.38	MsgQueue Length: 5	LC: 53
Event: Receive	Global Time: 1457809487.89	MsgQueue Length: 4	LC: 54
Event: Receive	Global Time: 1457809488.39	MsgQueue Length: 5	LC: 56
Event: Receive	Global Time: 1457809488.89	MsgQueue Length: 4	LC: 58
Event: Receive	Global Time: 1457809489.39	MsgQueue Length: 4	LC: 60
Event: Receive	Global Time: 1457809489.89	MsgQueue Length: 5	LC: 62
Event: Receive	Global Time: 1457809490.39	MsgQueue Length: 5	LC: 65
Event: Receive	Global Time: 1457809490.89	MsgQueue Length: 4	LC: 67
Event: Receive	Global Time: 1457809491.39	MsgQueue Length: 5	LC: 71
Event: Receive	Global Time: 1457809491.89	MsgQueue Length: 5	LC: 73
Event: Receive	Global Time: 1457809492.39	MsgQueue Length: 7	LC: 74
Event: Receive	Global Time: 1457809492.89	MsgQueue Length: 7	LC: 77
Event: Receive	Global Time: 1457809493.39	MsgQueue Length: 8	LC: 80
Event: Receive	Global Time: 1457809493.89	MsgQueue Length: 9	LC: 81
Event: Receive	Global Time: 1457809494.39	MsgQueue Length: 8	LC: 83
Event: Receive	Global Time: 1457809494.9	MsgQueue Length: 9	LC: 85
Event: Receive	Global Time: 1457809495.4	MsgQueue Length: 10	LC: 86
Event: Receive	Global Time: 1457809495.9	MsgQueue Length: 9	LC: 87
Event: Receive	Global Time: 1457809496.4	MsgQueue Length: 10	LC: 88
Event: Receive	Global Time: 1457809496.9	MsgQueue Length: 9	LC: 91
Event: Receive	Global Time: 1457809497.4	MsgQueue Length: 10	LC: 92
Event: Receive	Global Time: 1457809497.9	MsgQueue Length: 10	LC: 93
Event: Receive	Global Time: 1457809498.4	MsgQueue Length: 11	LC: 94
Event: Receive	Global Time: 1457809498.9	MsgQueue Length: 10	LC: 98
Event: Receive	Global Time: 1457809499.4	MsgQueue Length: 12	LC: 99
Event: Receive	Global Time: 1457809499.9	MsgQueue Length: 12	LC: 100
Event: Receive	Global Time: 1457809500.4	MsgQueue Length: 12	LC: 102
Event: Receive	Global Time: 1457809500.9	MsgQueue Length: 11	LC: 105
Event: Receive	Global Time: 1457809501.4	MsgQueue Length: 11	LC: 107
Event: Receive	Global Time: 1457809501.9	MsgQueue Length: 11	LC: 111
Event: Receive	Global Time: 1457809502.41	MsgQueue Length: 11	LC: 112
Event: Receive	Global Time: 1457809502.91	MsgQueue Length: 11	LC: 113
Event: Receive	Global Time: 1457809503.41	MsgQueue Length: 12	LC: 115
Event: Receive	Global Time: 1457809503.91	MsgQueue Length: 13	LC: 117
Event: Receive	Global Time: 1457809504.41	MsgQueue Length: 15	LC: 120
Event: Receive	Global Time: 1457809504.91	MsgQueue Length: 14	LC: 121
Event: Receive	Global Time: 1457809505.41	MsgQueue Length: 14	LC: 122
Event: Receive	Global Time: 1457809505.91	MsgQueue Length: 14	LC: 123
Event: Receive	Global Time: 1457809506.41	MsgQueue Length: 14	LC: 127
Event: Receive	Global Time: 1457809506.91	MsgQueue Length: 14	LC: 132
Event: Receive	Global Time: 1457809507.41	MsgQueue Length: 15	LC: 134
Event: Receive	Global Time: 1457809507.91	MsgQueue Length: 16	LC: 137
Event: Receive	Global Time: 1457809508.41	MsgQueue Length: 16	LC: 139
Event: Receive	Global Time: 1457809508.91	MsgQueue Length: 16	LC: 141
Event: Receive	Global Time: 1457809509.42	MsgQueue Length: 15	LC: 142
Event: Receive	Global Time: 1457809509.92	MsgQueue Length: 15	LC: 143
Event: Receive	Global Time: 1457809510.42	MsgQueue Length: 15	LC: 144
Event: Receive	Global Time: 1457809510.92	MsgQueue Length: 15	LC: 145
Event: Receive	Global Time: 1457809511.42	MsgQueue Length: 15	LC: 146
Event: Receive	Global Time: 1457809511.92	MsgQueue Length: 15	LC: 147
Event: Receive	Global Time: 1457809512.42	MsgQueue Length: 15	LC: 152
Event: Receive	Global Time: 1457809512.92	MsgQueue Length: 15	LC: 153
Event: Receive	Global Time: 1457809513.42	MsgQueue Length: 16	LC: 156
Event: Receive	Global Time: 1457809513.92	MsgQueue Length: 16	LC: 158
Event: Receive	Global Time: 1457809514.42	MsgQueue Length: 17	LC: 161
Event: Receive	Global Time: 1457809514.92	MsgQueue Length: 17	LC: 162
Event: Receive	Global Time: 1457809515.42	MsgQueue Length: 17	LC: 163
Event: Receive	Global Time: 1457809515.92	MsgQueue Length: 17	LC: 164
Event: Receive	Global Time: 1457809516.42	MsgQueue Length: 17	LC: 166
Event: Receive	Global Time: 1457809516.93	MsgQueue Length: 16	LC: 168
